,event,event_size,datetime,actor
37,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XPT-R6G0-YC5N-700K.xml#playEvent,200,30/01/2010,http://dbpedia.org/resource/Lionel_Messi
38,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#EVENEvent,5,30/01/2010,http://dbpedia.org/resource/John_Terry
39,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#affairEvent,11,30/01/2010,http://dbpedia.org/resource/John_Terry
40,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#agentEvent,6,30/01/2010,http://dbpedia.org/resource/John_Terry
41,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#arrestEvent,6,30/01/2010,http://dbpedia.org/resource/John_Terry
43,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#birthdayEvent,6,30/01/2010,http://dbpedia.org/resource/John_Terry
44,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#blunderEvent,6,30/01/2010,http://dbpedia.org/resource/John_Terry
45,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#buyEvent,11,30/01/2010,http://dbpedia.org/resource/John_Terry
46,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#circulateEvent,7,30/01/2010,http://dbpedia.org/resource/John_Terry
47,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#classEvent,5,30/01/2010,http://dbpedia.org/resource/John_Terry
48,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#colleagueEvent,9,30/01/2010,http://dbpedia.org/resource/John_Terry
49,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#createEvent,9,30/01/2010,http://dbpedia.org/resource/John_Terry
50,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#defenseEvent,7,30/01/2010,http://dbpedia.org/resource/John_Terry
