type,count
dbo:Train,14
dbo:AdultActor,14
dbo:Mineral,13
dbo:PowerStation,13
dbo:BeachVolleyballPlayer,13
dbo:GrandPrix,12
dbo:Religious,12
dbo:Continent,11
dbo:College,11
dbo:Library,11
dbo:AnimangaCharacter,11
dbo:Restaurant,11
dbo:AmericanFootballLeague,11
dbo:CanadianFootballTeam,10
dbo:Case,10
dbo:LegalCase,10
dbo:SupremeCourtOfTheUnitedStatesCase,10
dbo:UnitOfWork,10
dbo:Ambassador,10
dbo:GolfLeague,9
dbo:Locomotive,9
dbo:OlympicResult,9
dbo:SportCompetitionResult,9
dbo:Rocket,9
dbo:Conifer,8
dbo:EurovisionSongContestEntry,8
dbo:Medician,8
dbo:WrestlingEvent,8
dbo:Cartoon,8
dbo:Reptile,8
dbo:Monument,7
dbo:Canal,7
dbo:MotorsportSeason,7
dbo:MountainRange,6
dbo:TelevisionSeason,6
dbo:Star,6
dbo:Anime,6
dbo:VolleyballLeague,6
dbo:Prison,5
dbo:CultivatedVariety,5
dbo:FieldHockeyLeague,5
dbo:NCAATeamSeason,5
dbo:LacrosseLeague,5
dbo:SpaceMission,5
dbo:SpaceStation,5
dbo:Tunnel,5
dbo:Crustacean,4
dbo:Mollusca,4
dbo:MotorcycleRacingLeague,4
dbo:AutomobileEngine,4
dbo:Sales,4
dbo:Castle,4
dbo:SumoWrestler,4
dbo:Arachnid,4
dbo:RailwayStation,4
dbo:ComedyGroup,3
dbo:Brain,3
dbo:RoadJunction,3
dbo:Chancellor,3
dbo:ClericalAdministrativeRegion,3
dbo:Diocese,3
dbo:Enzyme,3
dbo:AmericanFootballTeam,3
dbo:WineRegion,3
dbo:RoadTunnel,3
dbo:VideogamesLeague,3
dbo:TennisLeague,3
dbo:TelevisionHost,3
dbo:Fern,2
dbo:CricketLeague,2
dbo:Cardinal,2
dbo:Embryology,2
dbo:CanadianFootballLeague,2
dbo:Muscle,2
dbo:PlayboyPlaymate,2
dbo:Fungus,2
dbo:Lighthouse,2
dbo:Ligament,2
dbo:Galaxy,2
dbo:HollywoodCartoon,2
dbo:SiteOfSpecialScientificInterest,2
dbo:SpaceShuttle,2
dbo:AutoRacingLeague,2
dbo:Vein,2
dbo:RailwayTunnel,2
dbo:Bacteria,2
dbo:MixedMartialArtsLeague,1
dbo:LaunchPad,1
dbo:GreenAlga,1
dbo:Nerve,1
dbo:HandballLeague,1
dbo:PoloLeague,1
dbo:SoccerClubSeason,1
dbo:Cave,1
dbo:ArtistDiscography,1
dbo:Artery,1
dbo:VolleyballCoach,1
dbo:SpeedwayLeague,1
dbo:Bodybuilder,1
dbo:SpeedwayTeam,1
dbo:Bone,1
dbo:SoftballLeague,1
